ion name     wrest       A         gamma         f
1  HI    1215.6737  6.2649E+08  6.2649E+08  1.3880E-01
1  HI    1215.6683  6.2651E+08  6.2651E+08  2.7761E-01
1  HI    1025.7230  1.6720E+08  1.8965E+08  2.6372E-02
1  HI    1025.7219  1.6720E+08  1.8965E+08  5.2745E-02
1  HI     972.5367  6.8180E+07  8.1260E+07  1.9336E-02
1  HI     949.7431  3.4370E+07  4.2031E+07  1.3943E-02
1  HI     937.8035  1.9730E+07  2.4500E+07  7.8042E-03
1  HI     930.7483  1.2360E+07  0.0000E-01  4.8157E-03
1  HI     926.2257  8.2490E+06  0.0000E-01  3.1828E-03
1  HI     923.1504  5.7820E+06  0.0000E-01  2.2162E-03
1  HI     920.9631  4.2080E+06  0.0000E-01  1.6052E-03
1  HI     919.3514  3.1580E+06  0.0000E-01  1.2005E-03
1  HI     918.1294  2.4300E+06  0.0000E-01  9.2128E-04
1  HI     917.1806  1.9100E+06  0.0000E-01  7.2264E-04
1  HI     916.4283  1.9300E+06  0.0000E-01  5.6851E-04
1  HI     915.8229  1.5725E+06  0.0000E-01  4.6222E-04
1  HI     915.3281  1.2991E+06  0.0000E-01  3.8086E-04
1  HI     914.9185  1.0857E+06  0.0000E-01  3.1752E-04
1  HI     914.5754  9.1603E+05  0.0000E-01  2.6749E-04
1  HI     914.2853  7.8057E+05  0.0000E-01  2.2744E-04
1  HI     914.0377  6.7064E+05  0.0000E-01  1.9500E-04
1  HI     913.8248  5.8005E+05  0.0000E-01  1.6845E-04
1  HI     913.6403  5.0703E+05  0.0000E-01  1.4651E-04
1  HI     913.4794  4.4389E+05  0.0000E-01  1.2822E-04
1  HI     913.3383  3.9080E+05  0.0000E-01  1.1285E-04
1  HI     913.2138  3.4585E+05  0.0000E-01  9.9840E-05
1  HI     913.1033  3.0754E+05  0.0000E-01  8.8757E-05
1  HI     913.0050  2.7467E+05  0.0000E-01  7.9256E-05
1  HI     912.9171  2.4633E+05  0.0000E-01  7.1064E-05
1  HI     912.8380  2.2176E+05  0.0000E-01  6.3963E-05
1  HI     912.7668  2.0034E+05  0.0000E-01  5.7778E-05
1  HI     912.7024  1.8160E+05  0.0000E-01  5.2365E-05
1  HI     912.6439  1.6512E+05  0.0000E-01  4.7607E-05
1  HI     912.5906  1.5058E+05  0.0000E-01  4.3409E-05
1  HI     912.5420  1.3769E+05  0.0000E-01  3.9691E-05
1  HI     912.4976  1.2624E+05  0.0000E-01  3.6385E-05
1  HI     912.4567  1.1602E+05  0.0000E-01  3.3436E-05
1  HI     912.4191  1.0687E+05  0.0000E-01  3.0798E-05
1  HI     912.3845  9.8662E+04  0.0000E-01  2.8430E-05
1  HI     912.3524  9.1272E+04  0.0000E-01  2.6298E-05
1  HI     912.3228  8.4602E+04  0.0000E-01  2.4375E-05
1  HI     912.2953  7.8566E+04  0.0000E-01  2.2635E-05
1  HI     912.2698  7.3091E+04  0.0000E-01  2.1056E-05
1  HI     912.2460  6.8112E+04  0.0000E-01  1.9621E-05
1  HI     912.2238  6.3576E+04  0.0000E-01  1.8313E-05
1  HI     912.2031  5.9434E+04  0.0000E-01  1.7119E-05
1  HI     912.1837  5.5644E+04  0.0000E-01  1.6027E-05
1  HI     912.1656  5.2169E+04  0.0000E-01  1.5026E-05
1  HI     912.1486  4.8978E+04  0.0000E-01  1.4106E-05
1  HI     912.1326  4.6042E+04  0.0000E-01  1.3260E-05
1  HI     912.1175  4.3336E+04  0.0000E-01  1.2480E-05
1  HI     912.1033  4.0837E+04  0.0000E-01  1.1760E-05
1  HI     912.0900  3.8527E+04  0.0000E-01  1.1095E-05
1  HI     912.0773  3.6389E+04  0.0000E-01  1.0478E-05
1  HI     912.0654  3.4405E+04  0.0000E-01  9.9070E-06
1  HI     912.0541  3.2563E+04  0.0000E-01  9.3764E-06
1  HI     912.0435  3.0850E+04  0.0000E-01  8.8830E-06
1  HI     912.0333  2.9256E+04  0.0000E-01  8.4236E-06
1  HI     912.0237  2.7769E+04  0.0000E-01  7.9954E-06
1  HI     912.0146  2.6381E+04  0.0000E-01  7.5957E-06
1  HI     912.0059  2.5085E+04  0.0000E-01  7.2222E-06
1  HI     911.9977  2.3871E+04  0.0000E-01  6.8728E-06
1  HI     911.9899  2.2735E+04  0.0000E-01  6.5456E-06
1  HI     911.9824  2.1670E+04  0.0000E-01  6.2388E-06
